                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.7047,                 6.2033,                 5.1492,                 2.6994,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 5.9391,                 5.6969,                 5.1673,                 3.0593,                      0,                      0,                      0
                      2,                 5.8702,                 5.9858,                 5.3724,                 3.7197,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 5.9091,                  5.596,                 5.1338,                 2.9867,             1.9996e-05,             1.9996e-05,             1.9996e-05
                      3,                 5.5026,                 5.6716,                   5.27,                 2.4673,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 5.8414,                 5.4365,                 5.0676,                 2.8479,             3.9984e-05,             3.9984e-05,             3.9984e-05
                      4,                 5.7194,                 5.9555,                 5.5162,                 2.5381,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 5.7234,                 5.2317,                 4.9666,                 2.6426,             5.9964e-05,             5.9964e-05,             5.9964e-05
                      5,                 5.7171,                 5.5533,                 5.3588,                 2.3995,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 5.4861,                 5.0363,                 4.7957,                 2.3407,             7.9937e-05,             7.9937e-05,             7.9937e-05
                      6,                 5.0175,                  5.091,                  4.733,                 2.0208,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  5.043,                 4.7817,                 4.5247,                 1.9218,             9.9901e-05,             9.9901e-05,             9.9901e-05
                      7,                   4.01,                 5.2711,                 4.2396,                  1.681,                0.00054,                0.00901,                0.00028,                0.00012,                0.00188,                0.03153,                  0.001,                0.00026,                 4.4088,                 4.7764,                  4.308,                   1.52,             0.00011986,             0.00011986,             0.00011986
                      8,                 4.3203,                 4.6869,                 4.2465,                 1.4798,                0.00149,                0.02477,                0.00081,                 0.0002,                0.00243,                0.04054,                0.00136,                0.00043,                 3.9355,                 4.8218,                 4.1408,                 1.2684,             0.00013981,             0.00013981,             0.00013981
                      9,                 4.0142,                 4.6891,                  4.081,                 1.4512,                0.00095,                0.01577,                0.00051,                  8e-05,                0.00081,                0.01351,                0.00043,                  8e-05,                 3.7765,                 4.8732,                 4.0992,                 1.1441,             0.00015975,             0.00015975,             0.00015975
                     10,                 3.8703,                 4.5994,                 3.8175,                 1.4289,                0.00014,                0.00225,                  7e-05,                  1e-05,                0.00163,                0.02703,                0.00088,                0.00027,                 3.6945,                 4.7846,                 4.0803,                 1.0733,             0.00017968,             0.00017968,             0.00017968
                     11,                 3.5914,                 4.5593,                 3.6548,                 1.1866,                0.00054,                0.00901,                0.00028,                  8e-05,                0.00136,                0.02252,                0.00072,                0.00015,                 3.6867,                 4.5969,                 4.0444,                 1.0437,              0.0001996,              0.0001996,              0.0001996
                     12,                 3.3661,                 4.4764,                 3.5662,                 1.1127,                0.00121,                0.02027,                0.00065,                0.00013,                0.00189,                0.03153,                0.00101,                 0.0002,                 3.5176,                 4.3147,                 3.9523,                 1.0088,             0.00021952,             0.00021952,             0.00021952
                     13,                 3.2939,                 4.5552,                 3.3344,                 1.0674,                0.00416,                0.06982,                 0.0027,                0.00063,                0.00604,                0.10135,                0.00388,                0.00101,                 3.3288,                 4.1717,                 3.8376,                 0.9851,             0.00023943,             0.00023943,             0.00023943
                     14,                 3.1829,                 4.2744,                 3.1188,                 1.0048,                0.00573,                0.09685,                0.00395,                0.00107,                 0.0096,                0.16216,                0.00662,                  0.002,                 3.2494,                 4.0598,                 3.7551,                0.97416,             0.00025933,             0.00025933,             0.00025933
                     15,                 3.1441,                 4.3536,                 2.9826,                 1.0648,                 0.0068,                0.11486,                0.00466,                0.00125,                0.01013,                0.17117,                0.00684,                0.00207,                 3.2061,                 4.0887,                 3.6952,                0.97054,             0.00027922,             0.00027922,             0.00027922
                     16,                 3.0363,                 3.9657,                 2.8355,                 1.0379,                 0.0064,                0.10811,                0.00414,                 0.0012,                0.00867,                 0.1464,                0.00548,                0.00155,                 3.1693,                 4.1409,                 3.6337,                0.97921,             0.00029911,             0.00029911,             0.00029911
                     17,                 3.0128,                 4.3702,                  2.775,                 1.0208,                0.00613,                 0.1036,                0.00389,                0.00107,                 0.0076,                0.12838,                0.00459,                0.00129,                 3.1429,                 4.1391,                 3.5833,                0.98799,             0.00031899,             0.00031899,             0.00031899
                     18,                 2.8522,                 3.4259,                 2.5495,                  1.026,                0.00653,                0.11036,                0.00435,                0.00113,                0.00893,                 0.1509,                0.00586,                0.00143,                 3.1191,                 4.0845,                 3.5045,                0.99479,             0.00033886,             0.00033886,             0.00033886
                     19,                 3.1931,                 4.4163,                 2.6082,                 1.0372,                0.00787,                0.13288,                 0.0052,                0.00145,                0.00947,                0.15991,                0.00607,                0.00151,                 3.0557,                 4.1644,                 3.4495,                0.98238,             0.00035872,             0.00035872,             0.00035872
                     20,                 2.9983,                 3.9139,                 2.4561,                 1.0391,                0.00973,                0.16441,                0.00672,                0.00197,                0.01107,                0.18694,                0.00749,                 0.0021,                 2.9909,                 4.0669,                 3.4035,                0.96885,             0.00037857,             0.00037857,             0.00037857
                     21,                 2.9098,                  3.775,                 2.3978,                 0.9858,                0.01093,                0.18468,                0.00749,                0.00259,                0.01067,                0.18018,                0.00702,                0.00213,                 2.9714,                 4.2821,                 3.3856,                 0.9582,             0.00039842,             0.00039842,             0.00039842
                     22,                 2.7603,                 3.8459,                 2.2002,                 1.0102,                0.01413,                0.23874,                0.01017,                0.00326,                 0.0124,                0.20946,                0.00841,                0.00248,                 2.9556,                 4.4239,                 3.3573,                0.94783,             0.00041825,             0.00041825,             0.00041825
                     23,                 2.8534,                 3.9171,                 2.4509,                0.98481,                0.01667,                0.28153,                 0.0123,                0.00407,                0.01547,                0.26126,                0.01117,                0.00329,                 2.9382,                 4.1008,                 3.3307,                0.94096,             0.00043808,             0.00043808,             0.00043808
                     24,                 2.7836,                 3.4144,                 2.1843,                0.98021,                0.01893,                0.31982,                0.01469,                 0.0049,                 0.0172,                0.29054,                0.01236,                0.00349,                 2.8545,                 3.8006,                 3.2893,                0.92992,             0.00045791,             0.00045791,             0.00045791
                     25,                 2.7551,                 3.3614,                 2.1786,                 0.9772,                0.01893,                0.31982,                0.01517,                 0.0052,                 0.0184,                0.31081,                0.01387,                 0.0037,                 2.8011,                 3.7978,                 3.2763,                0.91863,             0.00047772,             0.00047772,             0.00047772
                     26,                 2.7396,                 3.4247,                 2.1021,                0.98894,                 0.0164,                0.27703,                0.01488,                0.00524,                  0.018,                0.30405,                0.01548,                0.00429,                 2.8279,                 3.7782,                 3.2775,                0.92739,             0.00049752,             0.00049752,             0.00049752
                     27,                  3.084,                  3.684,                 2.2253,                0.98249,                0.01387,                0.23423,                0.01376,                0.00448,                 0.0152,                0.25676,                0.01398,                 0.0038,                 2.9529,                 3.8858,                 3.3267,                0.93333,             0.00051732,             0.00051732,             0.00051732
                     28,                 2.9019,                 3.7415,                 2.0575,                 1.0182,                 0.0124,                0.20946,                0.01129,                0.00363,                0.01307,                0.22072,                0.01014,                0.00266,                 3.0273,                 3.7705,                  3.362,                0.93819,             0.00053711,             0.00053711,             0.00053711
                     29,                 2.8917,                 3.4833,                 2.1671,                0.91667,                 0.0132,                0.22297,                0.01302,                0.00404,                0.01307,                0.22072,                 0.0099,                0.00261,                 3.0138,                 3.6553,                 3.3491,                0.93749,              0.0005569,              0.0005569,              0.0005569
                     30,                 2.8158,                 3.3154,                 2.0741,                0.92338,                0.01493,                0.25225,                0.01585,                0.00445,                0.01267,                0.21396,                0.00958,                0.00288,                 2.9773,                 3.5643,                 3.3143,                0.93995,             0.00057667,             0.00057667,             0.00057667
                     31,                 2.7281,                 3.6507,                 1.9353,                0.93775,                0.01653,                0.27928,                0.02032,                0.00579,                0.01493,                0.25225,                0.01199,                0.00341,                 2.9419,                 3.3866,                 3.2718,                0.94029,             0.00059644,             0.00059644,             0.00059644
                     32,                 2.8222,                 3.5458,                 1.9166,                0.97472,                 0.0188,                0.31757,                0.03733,                0.00898,                 0.0156,                0.26351,                0.01724,                0.00542,                 2.9703,                 3.2838,                 3.2215,                0.94434,             0.00061619,             0.00061619,             0.00061619
                     33,                 2.9088,                 3.6333,                 2.0854,                0.95624,                0.02227,                0.37613,                0.04863,                 0.0126,                0.01653,                0.27928,                0.01677,                0.00468,                 2.9533,                 3.2998,                 3.1815,                0.94426,             0.00063594,             0.00063594,             0.00063594
                     34,                 2.8418,                 3.4383,                 1.9489,                0.95947,                0.02213,                0.37387,                0.04757,                0.01317,                 0.0152,                0.25676,                0.01268,                0.00411,                  2.929,                 3.3077,                 3.1847,                0.93821,             0.00065569,             0.00065569,             0.00065569
                     35,                 2.8699,                 2.9861,                 2.0438,                0.94257,                   0.02,                0.33784,                0.03388,                0.00904,                0.01373,                0.23198,                 0.0119,                0.00357,                 2.9894,                 3.2278,                 3.2365,                0.94114,             0.00067542,             0.00067542,             0.00067542
                     36,                 2.6595,                 3.4197,                 1.9117,                0.91609,                0.01893,                0.31982,                0.02883,                0.00703,                0.01347,                0.22748,                0.01258,                0.00351,                  3.065,                  3.306,                 3.2712,                0.94765,             0.00069515,             0.00069515,             0.00069515
                     37,                 2.7559,                 3.2196,                 2.0147,                0.94001,                0.01747,                0.29505,                0.01955,                0.00553,                0.01307,                0.22072,                0.01094,                 0.0027,                 3.1508,                 3.6086,                  3.283,                0.96047,             0.00071487,             0.00071487,             0.00071487
                     38,                 2.8162,                 3.0906,                  1.826,                0.91562,                0.02107,                0.35586,                0.03758,                0.01034,                 0.0168,                0.28378,                0.02047,                0.00453,                 2.9646,                 3.5561,                 3.2165,                0.93914,             0.00073458,             0.00073458,             0.00073458
                     39,                 2.5827,                 3.2272,                 1.6629,                0.93151,                0.02493,                0.42117,                0.06973,                0.02422,                0.02093,                 0.3536,                0.05163,                0.01158,                 2.6976,                 3.3371,                 3.1025,                0.92307,             0.00075428,             0.00075428,             0.00075428
                     40,                 2.5952,                 2.8742,                 1.6659,                0.93709,                0.02667,                0.45045,                0.09294,                0.03851,                  0.024,                0.40541,                0.07505,                 0.0182,                 2.6581,                 3.3669,                 3.0096,                0.93012,             0.00077398,             0.00077398,             0.00077398
                     41,                 2.5753,                 3.0613,                 1.9028,                0.96675,                0.02853,                0.48198,                0.07946,                0.03173,                0.02613,                0.44144,                0.06911,                0.01848,                 2.6504,                 3.3944,                 2.9901,                0.93208,             0.00079366,             0.00079366,             0.00079366
                     42,                 2.6243,                 3.2945,                 1.7813,                0.91037,                0.02867,                0.48423,                0.06241,                0.02443,                0.02387,                0.40315,                0.04186,                0.01118,                 2.6235,                 3.4093,                 2.9846,                 0.9251,             0.00081334,             0.00081334,             0.00081334
                     43,                 2.6627,                 3.2868,                 1.6509,                0.92199,                0.02893,                0.48874,                0.05984,                0.02191,                0.02493,                0.42117,                0.03666,                0.01097,                 2.6316,                 3.4713,                 2.9757,                0.92256,             0.00083301,             0.00083301,             0.00083301
                     44,                  2.651,                 3.2547,                 1.7964,                0.92425,                   0.03,                0.50676,                0.05969,                0.01948,                0.02507,                0.42342,                0.02943,                0.00854,                 2.6269,                 3.2934,                  2.955,                0.91754,             0.00085268,             0.00085268,             0.00085268
                     45,                 2.6298,                 3.1068,                 1.7378,                0.92745,                0.03093,                0.52252,                0.07442,                 0.0232,                0.02653,                 0.4482,                0.03815,                0.01139,                 2.5751,                 3.2214,                 2.8874,                0.92046,             0.00087233,             0.00087233,             0.00087233
                     46,                  2.448,                 2.8503,                  1.715,                 0.9881,                   0.03,                0.50676,                0.09345,                0.03185,                0.03053,                0.51577,                0.07043,                0.02196,                 2.5442,                 3.3451,                  2.828,                0.92096,             0.00089198,             0.00089198,             0.00089198
                     47,                 2.7416,                 3.7261,                 1.7338,                0.89674,                 0.0296,                    0.5,                0.09506,                0.03434,                0.03067,                0.51802,                0.08218,                0.02602,                 2.5583,                 3.2686,                 2.8108,                0.92235,             0.00091162,             0.00091162,             0.00091162
                     48,                 2.4121,                  2.839,                 1.6225,                0.90132,                0.03013,                0.50901,                 0.0874,                0.02913,                0.02987,                 0.5045,                0.08748,                0.02751,                  2.593,                 3.2127,                 2.8168,                0.92747,             0.00093125,             0.00093125,             0.00093125
                     49,                 2.5024,                 2.9074,                 1.7247,                0.89478,                0.03067,                0.51802,                0.07646,                0.02464,                0.02853,                0.48198,                0.06817,                0.02283,                 2.5703,                 3.3412,                 2.8101,                0.91712,             0.00095088,             0.00095088,             0.00095088
                     50,                 2.5851,                 3.1606,                 1.7338,                0.87171,                  0.032,                0.54054,                0.03931,                0.01312,                 0.0292,                0.49324,                 0.0346,                0.01074,                 2.5397,                 3.3498,                 2.9862,                0.91418,             0.00097049,             0.00097049,             0.00097049
                     51,                 2.6168,                 3.1311,                 1.7408,                 0.8897,                  0.032,                0.54054,                0.03931,                0.01312,                 0.0292,                0.49324,                 0.0346,                0.01074,                 2.5397,                 3.3498,                 2.9862,                0.91418,              0.0009901,              0.0009901,              0.0009901
                     52,                 2.7576,                 3.3067,                 1.8706,                0.94616,                0.03267,                 0.5518,                0.04532,                0.01512,                0.03053,                0.51577,                0.04064,                0.01217,                 2.5725,                  3.358,                 2.9736,                0.93036,              0.0010097,              0.0010097,              0.0010097
                     53,                  2.516,                 3.1222,                 1.6616,                0.88935,                0.03267,                 0.5518,                0.04532,                0.01512,                0.03053,                0.51577,                0.04064,                0.01217,                 2.5725,                  3.358,                 2.9736,                0.93036,              0.0010293,              0.0010293,              0.0010293
                     54,                 2.5092,                 2.9036,                 1.6879,                0.90381,                0.03307,                0.55856,                0.05207,                0.01688,                0.03293,                0.55631,                0.05285,                 0.0151,                 2.6002,                 3.4731,                 3.1501,                0.95098,              0.0010489,              0.0010489,              0.0010489
                     55,                 2.4802,                 3.2594,                 1.7305,                0.94231,                0.03307,                0.55856,                0.05207,                0.01688,                0.03293,                0.55631,                0.05285,                 0.0151,                 2.6002,                 3.4731,                 3.1501,                0.95098,              0.0010685,              0.0010685,              0.0010685
                     56,                 2.5707,                 3.1989,                 1.8153,                  0.921,                0.03133,                0.52928,                0.05161,                 0.0164,                 0.0344,                0.58108,                0.06225,                0.01908,                  2.696,                 3.3832,                 3.8637,                0.97537,               0.001088,               0.001088,               0.001088
                     57,                 2.5413,                 2.9725,                 1.6516,                0.92279,                0.03133,                0.52928,                0.05161,                 0.0164,                 0.0344,                0.58108,                0.06225,                0.01908,                  2.696,                 3.3832,                 3.8637,                0.97537,              0.0011076,              0.0011076,              0.0011076
                     58,                  2.385,                 2.7366,                 1.6803,                0.93501,                 0.0268,                 0.4527,                0.04478,                0.01404,                0.03587,                0.60586,                 0.0797,                0.02778,                 2.8794,                 3.3611,                 3.1361,                 1.0308,              0.0011271,              0.0011271,              0.0011271
                     59,                 2.5734,                  3.026,                 1.6458,                0.93011,                 0.0268,                 0.4527,                0.04478,                0.01404,                0.03587,                0.60586,                 0.0797,                0.02778,                 2.8794,                 3.3611,                 3.1361,                 1.0308,              0.0011467,              0.0011467,              0.0011467
                     60,                 2.6694,                 3.0254,                 1.7624,                0.92203,                0.11813,                0.17793,                0.05516,                0.01739,                0.20334,                0.21171,                0.10113,                 0.0364,                 2.8498,                 3.4471,                 2.7053,                 1.0155,              0.0011662,              0.0011662,              0.0011662
                     61,                 2.4782,                  2.884,                 1.5795,                0.91777,                0.11813,                0.17793,                0.05516,                0.01739,                0.20334,                0.21171,                0.10113,                 0.0364,                 2.8498,                 3.4471,                 2.7053,                 1.0155,              0.0011857,              0.0011857,              0.0011857
                     62,                 2.5802,                 2.8465,                 1.6782,                0.91677,                0.18192,                0.10811,                0.08591,                0.02672,                0.25203,                0.08784,                0.11066,                0.03732,                  2.695,                 3.5974,                 2.6334,                0.97608,              0.0012053,              0.0012053,              0.0012053
                     63,                 2.6277,                 3.1488,                 1.7686,                0.91792,                0.18192,                0.10811,                0.08591,                0.02672,                0.25203,                0.08784,                0.11066,                0.03732,                  2.695,                 3.5974,                 2.6334,                0.97608,              0.0012248,              0.0012248,              0.0012248
                     64,                   2.27,                 2.5958,                 1.5134,                0.91121,                 0.0667,                0.38063,                0.06984,                0.02298,                0.14753,                0.11036,                0.07177,                0.02371,                 2.5494,                 3.4714,                 2.6815,                0.95246,              0.0012443,              0.0012443,              0.0012443
                     65,                 2.5297,                 2.9261,                 1.6287,                 0.9152,                 0.0667,                0.38063,                0.06984,                0.02298,                0.14753,                0.11036,                0.07177,                0.02371,                 2.5494,                 3.4714,                 2.6815,                0.95246,              0.0012638,              0.0012638,              0.0012638
                     66,                  2.598,                 3.2024,                 1.7076,                0.92191,                0.07478,                0.45495,                 0.0835,                0.02611,                0.16604,                0.13288,                0.07926,                0.02395,                 2.5265,                 3.4238,                 2.6422,                 0.9349,              0.0012833,              0.0012833,              0.0012833
                     67,                  2.609,                 2.9537,                 1.6861,                0.87096,                0.07478,                0.45495,                 0.0835,                0.02611,                0.16604,                0.13288,                0.07926,                0.02395,                 2.5265,                 3.4238,                 2.6422,                 0.9349,              0.0013028,              0.0013028,              0.0013028
