                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7685,                 3.5544,                 3.9945,                 1.5828,                0.00382,                0.37634,                0.00291,                0.00127,                0.00321,                0.30108,                0.00243,                0.00106,                 1.7105,                 3.2736,                 4.1058,                 1.7153,              1.429e-05,              1.429e-05,              1.429e-05
                      2,                 1.8357,                  3.455,                 4.0553,                 1.6181,                0.00468,                0.45161,                0.00373,                0.00183,                0.00443,                0.41398,                0.00361,                0.00177,                 1.5702,                 2.8318,                 4.0664,                 1.6021,             4.2862e-05,             4.2862e-05,             4.2862e-05
                      3,                 1.6721,                 3.1936,                 3.9306,                 1.5129,                0.00579,                0.55914,                 0.0054,                 0.0028,                0.00571,                0.54301,                0.00553,                0.00287,                 1.3889,                  2.423,                 4.0029,                 1.4594,             7.1422e-05,             7.1422e-05,             7.1422e-05
                      4,                 1.4002,                 2.4913,                  3.777,                 1.3462,                0.00708,                0.68817,                0.01072,                0.00615,                0.00749,                0.72581,                0.01422,                0.00681,                 1.2442,                 2.1115,                 3.9147,                 1.3109,             9.9971e-05,             9.9971e-05,             9.9971e-05
                      5,                 1.4835,                 2.3894,                 3.6732,                 1.3462,                0.00828,                0.82258,                0.02412,                  0.014,                0.00846,                0.83871,                0.04523,                 0.0196,                 1.2375,                 1.9448,                  3.842,                 1.2375,             0.00012851,             0.00012851,             0.00012851
                      6,                 1.4117,                 2.2254,                  3.456,                 1.2485,                0.00872,                0.87097,                 0.0484,                0.02997,                  0.009,                0.89785,                0.07005,                0.02767,                 1.2368,                 1.8533,                  3.754,                 1.1981,             0.00015703,             0.00015703,             0.00015703
                      7,                 1.3265,                 1.9324,                 3.1933,                 1.1727,                 0.0089,                0.89785,                0.07502,                0.04211,                 0.0089,                0.89785,                0.09064,                0.04011,                 1.1747,                  1.787,                 3.6576,                 1.1529,             0.00018555,             0.00018555,             0.00018555
                      8,                 1.3073,                 1.6937,                 2.8565,                 1.1206,                0.00881,                0.89247,                0.10608,                0.05953,                0.00893,                0.90323,                0.12639,                0.05829,                 1.1904,                 1.9293,                 3.5554,                 1.1332,             0.00021405,             0.00021405,             0.00021405
                      9,                 1.3726,                 1.9943,                 2.6408,                 1.1644,                0.00885,                0.89785,                0.14878,                0.08657,                0.00891,                0.90323,                0.17867,                0.08358,                 1.2046,                 2.0407,                 3.4184,                 1.1377,             0.00024255,             0.00024255,             0.00024255
                     10,                 1.2119,                 1.5308,                 2.2483,                 1.1178,                0.00901,                0.91398,                0.21216,                0.12881,                0.00901,                0.91398,                0.23959,                 0.1303,                 1.1884,                 1.9602,                 3.2351,                 1.1304,             0.00027103,             0.00027103,             0.00027103
                     11,                 1.3705,                 1.8986,                 2.2366,                 1.1506,                0.36742,                0.31824,                0.29333,                0.17354,                0.37709,                0.32899,                0.31497,                0.18138,                  1.221,                 1.7738,                 3.0634,                 1.1038,              0.0002995,              0.0002995,              0.0002995
                     12,                 1.3472,                 1.5639,                 1.9887,                  1.112,                0.33224,                0.49935,                0.39844,                0.25055,                0.34036,                0.52085,                0.40612,                0.26036,                 1.1033,                 1.6133,                 2.9517,                 1.0433,             0.00032795,             0.00032795,             0.00032795
                     13,                 1.2728,                 1.7161,                 1.8251,                 1.0919,                0.86869,                0.04839,                0.43859,                0.27567,                0.86869,                0.04839,                0.45277,                0.28777,                 1.1024,                 1.4785,                 2.8747,                 1.0281,              0.0003564,              0.0003564,              0.0003564
                     14,                 1.2451,                 1.4611,                 1.6664,                 1.0761,                0.94169,                0.07074,                 0.4153,                0.27049,                0.94169,                0.07074,                 0.4462,                 0.2769,                 1.0784,                 1.4166,                 2.8538,                 1.0272,             0.00038484,             0.00038484,             0.00038484
                     15,                 1.1949,                 1.5231,                  1.632,                 1.0554,                0.80073,                0.09462,                0.40994,                0.26851,                0.84841,                0.11291,                0.45563,                0.26985,                 1.0791,                  1.402,                  2.913,                 1.0584,             0.00041326,             0.00041326,             0.00041326
                     16,                  1.138,                 1.3412,                 1.5466,                 1.0583,                0.75484,                0.16667,                0.42114,                0.28324,                0.77324,                0.18642,                0.45849,                0.30258,                 1.1357,                 1.3392,                 2.9978,                 1.1048,             0.00044167,             0.00044167,             0.00044167
                     17,                 1.1414,                 1.4008,                 1.4792,                 1.0438,                 0.8738,                0.13581,                0.51891,                0.34114,                 0.8941,                0.14119,                0.53046,                0.33919,                 1.1012,                 1.4716,                 2.9211,                 1.0529,             0.00047008,             0.00047008,             0.00047008
                     18,                 1.0471,                 1.2265,                 1.3151,                 1.0189,                 0.9562,                0.20866,                0.60788,                0.41062,                0.92181,                0.21558,                0.59251,                0.39475,                 1.0532,                 1.4562,                 2.8703,                 1.0183,             0.00049847,             0.00049847,             0.00049847
                     19,                 1.0329,                 1.2942,                  1.303,                 1.0212,                0.00946,                0.94624,                0.58663,                0.39913,                0.00946,                0.94624,                0.58158,                0.36891,                 1.0436,                 1.5174,                 2.9407,                 1.0099,             0.00052685,             0.00052685,             0.00052685
                     20,                 1.0611,                 1.4203,                  1.296,                 1.0455,                0.00961,                0.93548,                0.40311,                0.25412,                0.00955,                0.93011,                0.41994,                0.24727,                 1.0909,                 1.5744,                 3.0971,                 1.0731,             0.00055521,             0.00055521,             0.00055521
                     21,                 1.0744,                 1.2335,                 1.2341,                 1.0201,                      1,                0.04058,                0.30779,                0.18436,                      1,                0.04058,                0.31745,                0.17619,                 1.1167,                 1.5206,                 3.1966,                  1.108,             0.00058357,             0.00058357,             0.00058357
                     22,                 1.0033,                 1.2299,                 1.1799,                  1.007,                0.90598,                0.04286,                0.26468,                0.16568,                0.90598,                0.04286,                  0.268,                0.15175,                 1.1068,                  1.572,                 3.2025,                 1.1096,             0.00061192,             0.00061192,             0.00061192
                     23,                0.97342,                 1.2164,                 1.2007,                0.99435,                0.82794,                0.03255,                0.35642,                0.23887,                0.98921,                0.03792,                0.40123,                0.22431,                 1.1711,                 1.5523,                 3.1747,                 1.1474,             0.00064025,             0.00064025,             0.00064025
                     24,                 1.0063,                 1.2961,                 1.1938,                 1.0058,                0.74279,                0.22786,                0.41895,                0.27709,                 0.7538,                0.22786,                0.42202,                0.26225,                  1.155,                 1.6923,                 3.1203,                 1.1139,             0.00066857,             0.00066857,             0.00066857
                     25,                 1.0079,                 1.2143,                 1.1582,                 1.0024,                0.00928,                0.93011,                 0.4396,                 0.2943,                0.00939,                0.94086,                0.44705,                0.26523,                  1.134,                 1.6633,                 3.0958,                 1.0927,             0.00069688,             0.00069688,             0.00069688
                     26,                0.99454,                  1.212,                 1.1607,                 1.0227,                0.70595,                 0.2951,                0.47166,                0.33125,                0.70729,                 0.3376,                0.49071,                0.29802,                 1.0924,                 1.5831,                 3.0232,                  1.073,             0.00072518,             0.00072518,             0.00072518
                     27,                0.95697,                  1.201,                 1.1234,                0.97135,                0.76434,                0.20628,                 0.5244,                0.36322,                0.78722,                0.21703,                0.52957,                0.33262,                 1.0704,                 1.5082,                 2.9354,                 1.0623,             0.00075347,             0.00075347,             0.00075347
                     28,                0.95093,                 1.2865,                  1.078,                0.98773,                0.91431,                0.06355,                0.57596,                0.39908,                0.94287,                0.06892,                 0.5833,                0.38219,                 1.0335,                  1.348,                 2.8194,                 1.0429,             0.00078175,             0.00078175,             0.00078175
                     29,                0.95233,                 1.1634,                 1.0698,                0.99374,                0.93266,                0.10414,                0.62577,                0.44185,                0.95511,                0.10952,                0.63608,                0.43286,                 1.0356,                  1.232,                 2.7279,                 1.0391,             0.00081001,             0.00081001,             0.00081001
                     30,                0.94226,                 1.2753,                 1.1079,                 1.0051,                0.97725,                0.16235,                0.69715,                0.51069,                      1,                0.16773,                0.71078,                0.50229,                0.98655,                 1.1381,                 2.6115,                   1.01,             0.00083827,             0.00083827,             0.00083827
                     31,                0.92521,                 1.1233,                0.98279,                0.97019,                0.96709,                0.24453,                0.74339,                0.55912,                0.98613,                0.24991,                0.73898,                0.52594,                0.95358,                  1.131,                 2.5303,                0.99844,             0.00086651,             0.00086651,             0.00086651
                     32,                 0.9102,                 1.1004,                 0.9939,                0.96805,                0.96885,                0.28126,                0.74179,                0.55632,                0.96885,                0.28126,                0.74401,                0.50833,                0.97637,                 1.1605,                 2.5334,                 1.0106,             0.00089474,             0.00089474,             0.00089474
                     33,                0.93727,                 1.1216,                 1.0147,                0.97322,                0.97512,                 0.2937,                0.75484,                0.55206,                0.97512,                 0.2937,                0.74453,                 0.4977,                 1.0233,                 1.2356,                 2.5353,                 1.0262,             0.00092296,             0.00092296,             0.00092296
                     34,                0.92162,                 1.1833,                 1.0148,                0.95934,                0.91342,                0.26159,                0.73665,                0.52653,                0.91342,                0.26159,                0.72683,                0.49079,                 1.0306,                 1.2287,                 2.5778,                 1.0366,             0.00095117,             0.00095117,             0.00095117
