                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.025,                  3.029,                 3.1016,                 1.2046,                0.01293,                0.97403,                 0.5671,                0.36914,                0.01276,                0.96104,                0.50056,                0.29755,                0.67646,                 2.2905,                 3.3317,                 1.1274,              2.858e-05,              2.858e-05,              2.858e-05
                      2,                 0.8742,                 2.7363,                 3.0021,                 1.1531,                0.01345,                0.97403,                0.80974,                0.61871,                0.01345,                0.97403,                0.81041,                0.53284,                0.51928,                 1.6876,                 3.2037,                0.96999,             7.1436e-05,             7.1436e-05,             7.1436e-05
                      3,                0.77357,                 2.1504,                 2.7537,                 1.0982,                0.01305,                0.97403,                0.89208,                0.68686,                0.01305,                0.97403,                0.89208,                0.58649,                0.46907,                 1.3691,                 3.0989,                0.91484,             0.00011427,             0.00011427,             0.00011427
                      4,                0.72534,                  1.676,                  2.364,                 1.0737,                0.01312,                0.97403,                0.93248,                0.74874,                0.01312,                0.97403,                0.91276,                 0.5784,                0.39634,                 1.2133,                   2.95,                0.86505,              0.0001571,              0.0001571,              0.0001571
                      5,                0.63735,                 1.4116,                 1.8776,                 1.0331,                      1,                0.37916,                0.93857,                0.75221,                      1,                0.37916,                0.93429,                0.63149,                0.54913,                 1.2959,                 2.6315,                0.95338,              0.0001999,              0.0001999,              0.0001999
                      6,                0.61934,                 1.3132,                 1.4004,                0.99489,                0.98358,                0.77809,                0.95272,                0.78527,                0.98358,                0.77809,                0.94415,                 0.6288,                 0.5819,                  1.423,                 2.2859,                0.99611,             0.00024269,             0.00024269,             0.00024269
                      7,                0.66951,                 1.1559,                 1.2339,                 1.0535,                0.98534,                0.87274,                0.96828,                0.83019,                0.98534,                0.87274,                0.96828,                0.65913,                0.52807,                 1.3811,                 1.8915,                0.92524,             0.00028546,             0.00028546,             0.00028546
                      8,                0.68855,                 1.1653,                 1.1475,                 1.0374,                0.91999,                0.96104,                0.96226,                0.83109,                0.91999,                0.96104,                0.96226,                0.67992,                0.54415,                 1.2845,                  1.461,                0.89829,             0.00032821,             0.00032821,             0.00032821
                      9,                0.65291,                  1.237,                 1.1027,                 1.0143,                0.93523,                 0.9376,                0.96568,                0.80797,                0.92582,                0.97248,                0.96646,                0.69071,                0.60055,                 1.1837,                 1.4296,                0.94746,             0.00037095,             0.00037095,             0.00037095
                     10,                 0.7228,                 1.0367,                  1.024,                 1.0554,                0.90918,                0.93506,                0.95592,                0.81608,                0.89509,                0.92208,                0.94648,                0.67761,                0.68626,                  1.209,                 1.5165,                0.97105,             0.00041367,             0.00041367,             0.00041367
                     11,                0.68719,                 1.1315,                0.98925,                  1.021,                0.81976,                0.90909,                0.87682,                  0.743,                0.83715,                0.94805,                0.88675,                0.60656,                0.67633,                 1.2418,                 1.5894,                 1.0285,             0.00045637,             0.00045637,             0.00045637
                     12,                 0.7022,                 1.1471,                 1.0457,                 1.0352,                 0.8171,                0.87013,                0.89499,                0.67295,                0.83453,                0.91699,                0.89988,                0.53434,                0.81741,                 1.5549,                 1.5521,                 1.0862,             0.00049906,             0.00049906,             0.00049906
                     13,                0.70005,                 1.1959,                0.97737,                0.98712,                0.68806,                0.80211,                0.77871,                0.55551,                0.73078,                0.76623,                0.78495,                0.51797,                0.76141,                  1.105,                 1.6341,                 1.0641,             0.00054173,             0.00054173,             0.00054173
                     14,                0.67815,                 1.1271,                0.94295,                 1.0068,                0.70559,                0.81818,                0.85474,                0.59315,                0.70559,                0.81818,                 0.8519,                0.55401,                0.79175,                 1.1686,                 1.5656,                 1.1285,             0.00058438,             0.00058438,             0.00058438
                     15,                0.68538,                0.96718,                0.88134,                0.97461,                0.82064,                0.77253,                0.84918,                 0.5765,                0.82064,                0.77253,                0.83944,                0.49698,                0.83869,                 1.3989,                 1.4583,                 1.1451,             0.00062702,             0.00062702,             0.00062702
                     16,                0.68059,                 1.0682,                 0.8778,                0.99361,                0.63725,                0.73007,                0.67081,                0.44391,                0.65271,                 0.7323,                0.66659,                0.40445,                0.98524,                 1.4005,                 1.6007,                 1.3773,             0.00066964,             0.00066964,             0.00066964
                     17,                0.64095,                 1.0124,                 0.8247,                0.96161,                0.79891,                0.76623,                 0.7893,                0.54772,                 0.8347,                0.75325,                 0.7837,                0.51337,                0.90359,                 1.2891,                 1.4934,                 1.2354,             0.00071224,             0.00071224,             0.00071224
                     18,                0.68608,                 1.3017,                0.84802,                 1.0088,                0.91913,                0.88312,                0.90949,                0.68425,                0.90561,                0.87013,                0.90454,                0.61688,                0.77884,                 1.2411,                 1.4363,                 1.0808,             0.00075482,             0.00075482,             0.00075482
                     19,                0.65893,                  1.112,                0.79094,                0.99485,                0.84326,                0.92208,                 0.9104,                0.68186,                 0.8629,                0.93506,                0.91651,                0.61575,                0.80579,                 1.3289,                 1.5338,                 1.1182,             0.00079739,             0.00079739,             0.00079739
                     20,                0.66066,                 1.1012,                0.87045,                0.98435,                0.90598,                0.87607,                0.91903,                0.65865,                0.88697,                0.90909,                0.92243,                0.63731,                0.84106,                 1.1101,                 1.3851,                 1.1425,             0.00083994,             0.00083994,             0.00083994
                     21,                0.69471,                 1.0526,                0.82815,                 1.0164,                0.86624,                0.88312,                0.88278,                 0.6006,                0.89213,                0.90909,                0.91853,                0.62892,                0.84674,                 1.0126,                 1.3915,                 1.1608,             0.00088247,             0.00088247,             0.00088247
                     22,                0.72459,                 1.1221,                0.84539,                  1.004,                 0.8202,                0.93506,                0.90441,                0.61732,                0.83194,                0.94805,                 0.9143,                0.62461,                0.83928,                0.97775,                 1.4656,                 1.1289,             0.00092499,             0.00092499,             0.00092499
                     23,                0.67267,                 1.0944,                0.79599,                0.98395,                0.85467,                0.92208,                 0.9284,                0.67249,                0.86691,                0.93506,                0.93574,                0.65133,                0.80364,                 1.0104,                 1.3661,                 1.1078,             0.00096749,             0.00096749,             0.00096749
                     24,                0.81346,                  1.155,                0.88734,                 1.0489,                0.83479,                0.91875,                0.93119,                0.67584,                0.91565,                0.84589,                 0.9294,                0.64557,                0.85685,                 1.2721,                  1.359,                 1.1452,                0.00101,                0.00101,                0.00101
                     25,                0.74761,                 1.0341,                0.85654,                  1.032,                0.85579,                0.92488,                0.93553,                0.75728,                0.85579,                0.92488,                0.93619,                0.67015,                0.70769,                 1.1909,                 1.2058,                 1.0599,              0.0010524,              0.0010524,              0.0010524
                     26,                  0.679,                 1.1438,                0.84288,                0.99562,                0.93357,                0.96104,                0.96244,                0.76793,                0.93357,                0.96104,                0.96244,                0.66707,                0.75116,                 1.2827,                 1.1096,                 1.0555,              0.0010949,              0.0010949,              0.0010949
                     27,                0.65432,                 1.3024,                0.83535,                 1.0249,                0.90709,                0.88757,                0.95342,                0.73508,                0.90307,                0.92208,                0.93386,                0.58842,                0.72896,                 1.2325,                 1.2468,                  1.039,              0.0011373,              0.0011373,              0.0011373
                     28,                 0.7267,                 1.2042,                0.87544,                 1.0236,                0.93987,                0.87013,                0.93607,                0.70438,                0.93987,                0.87013,                0.91453,                0.52592,                0.77776,                 1.5102,                 1.1338,                  1.138,              0.0011797,              0.0011797,              0.0011797
                     29,                0.71103,                  1.086,                0.87646,                0.99118,                 0.8176,                0.87321,                0.91183,                0.68011,                0.90041,                0.80519,                0.90926,                0.60334,                 0.8388,                 1.4064,                 1.2311,                 1.2231,              0.0012221,              0.0012221,              0.0012221
                     30,                0.67222,                 1.0912,                 0.9101,                0.98368,                 0.7695,                0.75325,                0.81768,                0.44922,                0.78329,                0.76623,                0.78836,                0.37302,                 1.5751,                 2.5465,                 1.9051,                   1.97,              0.0012645,              0.0012645,              0.0012645
                     31,                0.73216,                 1.1052,                0.86213,                 1.0146,                0.77082,                0.74259,                0.81576,                0.50229,                0.75747,                0.73014,                0.76184,                0.36021,                 1.3898,                  2.276,                 1.6676,                 1.7515,              0.0013069,              0.0013069,              0.0013069
                     32,                0.73094,                 1.0887,                0.83102,                 1.0067,                0.82559,                0.86069,                0.89708,                0.52988,                0.79451,                0.87013,                 0.8744,                0.41955,                 1.1241,                 1.8027,                 1.5128,                 1.3443,              0.0013492,              0.0013492,              0.0013492
                     33,                0.72196,                 1.0085,                0.82824,                0.99561,                0.87574,                0.88312,                 0.9342,                0.67189,                0.87457,                0.80519,                0.85146,                0.45571,                0.91202,                 2.0242,                 1.3759,                 1.1598,              0.0013915,              0.0013915,              0.0013915
                     34,                0.81124,                 1.0782,                0.90085,                 1.0088,                0.77415,                0.93506,                0.87197,                0.65322,                0.80232,                0.84338,                0.83552,                0.39345,                0.87163,                 2.0311,                 1.5158,                 1.1684,              0.0014197,              0.0014197,              0.0014197
