                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5883,                 4.7765,                 3.8838,                 2.3141,                 0.0019,                0.56667,                0.00238,                0.00055,                0.00106,                0.31667,                0.00089,                0.00016,                 2.5169,                 4.6262,                  4.366,                 2.7447,                  2e-05,                  2e-05,                  2e-05
                      2,                 2.6029,                 4.5404,                  3.947,                  2.432,                0.00235,                    0.7,                0.00473,                0.00106,                0.00202,                    0.6,                0.00343,                0.00063,                 2.2198,                 3.6583,                 4.2412,                 2.5311,             5.9988e-05,             5.9988e-05,             5.9988e-05
                      3,                 2.3972,                 3.5698,                 3.7874,                 2.2544,                0.00283,                0.81667,                0.00878,                0.00232,                0.00225,                   0.65,                0.00659,                0.00144,                  1.764,                 3.4326,                 4.0694,                 2.2153,              9.996e-05,              9.996e-05,              9.996e-05
                      4,                 1.7721,                  2.851,                 3.4372,                  1.828,                0.00347,                0.96667,                0.01762,                0.00655,                0.00311,                0.86667,                0.02082,                0.00556,                 1.6313,                 2.8915,                 3.7902,                  1.847,             0.00013992,             0.00013992,             0.00013992
                      5,                 1.5983,                 2.7355,                 3.1587,                 1.5414,                0.00366,                      1,                0.09321,                 0.0294,                0.00366,                      1,                0.19935,                0.05492,                  1.458,                 2.1943,                 3.5363,                 1.5383,             0.00017986,             0.00017986,             0.00017986
                      6,                 1.5095,                 2.2667,                 2.8178,                  1.389,                0.00364,                      1,                0.25891,                0.07534,                0.00364,                      1,                0.30857,                0.12853,                 1.5404,                 2.0122,                  3.467,                 1.5949,             0.00021978,             0.00021978,             0.00021978
                      7,                 1.4101,                 1.9239,                 2.3748,                 1.3558,                0.00346,                      1,                0.49351,                0.14659,                0.00346,                      1,                0.55697,                 0.2197,                  1.499,                  2.249,                 3.3053,                 1.5147,             0.00025969,             0.00025969,             0.00025969
                      8,                 1.2262,                 1.9271,                 1.8854,                 1.1891,                      1,                0.45688,                0.73547,                0.25964,                      1,                0.45688,                 0.8436,                0.40405,                 1.4792,                 1.8618,                   3.04,                 1.3819,             0.00029958,             0.00029958,             0.00029958
                      9,                 1.3214,                 1.6714,                 1.7293,                 1.2154,                0.95244,                 0.6675,                0.93104,                0.43555,                0.95244,                 0.6675,                0.94462,                0.45992,                 1.3147,                 2.0267,                 2.8116,                 1.2379,             0.00033946,             0.00033946,             0.00033946
                     10,                 1.3645,                  1.601,                  1.734,                 1.2008,                 0.0034,                      1,                0.71582,                0.33416,                 0.0034,                      1,                 0.7657,                0.40616,                 1.3848,                 1.7943,                 3.0263,                 1.3648,             0.00037932,             0.00037932,             0.00037932
                     11,                 1.2041,                 1.7118,                 1.6514,                 1.1525,                0.01234,                0.83333,                0.52899,                0.24513,                0.01308,                0.88333,                0.61537,                0.32895,                 1.4297,                 1.7863,                 3.0565,                  1.339,             0.00041917,             0.00041917,             0.00041917
                     12,                 1.1294,                 1.5803,                 1.3553,                 1.0824,                0.80356,                 0.1366,                0.60109,                0.33658,                0.90178,                0.15326,                0.68157,                 0.3844,                 1.3067,                 1.8267,                 2.8689,                 1.2322,               0.000459,               0.000459,               0.000459
                     13,                 1.0891,                 1.3204,                 1.3162,                 1.0471,                0.92913,                0.43714,                0.76475,                0.43945,                0.92913,                0.43714,                0.76532,                0.45918,                  1.339,                  2.087,                 2.6618,                 1.2796,             0.00049881,             0.00049881,             0.00049881
                     14,                 1.1955,                 1.4706,                 1.2871,                 1.0432,                      1,                0.24611,                0.66365,                0.31339,                      1,                0.24611,                 0.7135,                0.36072,                 1.5167,                 2.2424,                 2.8428,                 1.4535,             0.00053861,             0.00053861,             0.00053861
                     15,                 1.0843,                 1.3555,                 1.1719,                 1.0522,                      1,                0.14717,                0.68185,                0.35856,                      1,                0.14717,                0.71149,                0.42432,                 1.2767,                 1.8469,                 2.8893,                 1.2245,             0.00057839,             0.00057839,             0.00057839
                     16,                 1.2043,                 1.4383,                 1.1981,                 1.1334,                0.00301,                    0.9,                0.31171,                0.12472,                0.00301,                    0.9,                 0.2869,                0.06495,                 1.6716,                 4.5931,                 3.3165,                 1.6486,             0.00061816,             0.00061816,             0.00061816
                     17,                 1.0607,                 1.3511,                 1.1982,                 1.0716,                0.00302,                    0.9,                 0.2351,                0.08147,                0.00279,                0.83333,                 0.2158,                0.05697,                 1.7363,                 4.3556,                 3.3815,                 1.7099,             0.00065791,             0.00065791,             0.00065791
                     18,                 1.0772,                 1.3173,                 1.0779,                 1.0291,                0.79907,                0.13264,                0.30864,                 0.1532,                0.79907,                0.13264,                0.27026,                 0.1336,                 1.3801,                 3.3379,                 3.1586,                 1.4211,             0.00069764,             0.00069764,             0.00069764
                     19,                 1.1055,                 1.4089,                 1.2047,                 1.0437,                      1,                0.04326,                 0.4539,                0.27163,                      1,                0.04326,                0.44705,                0.21626,                 1.2049,                 3.0103,                 2.9485,                 1.2441,             0.00073736,             0.00073736,             0.00073736
                     20,                 1.1226,                 1.3707,                 1.1422,                 1.0565,                0.68001,                0.14201,                0.29183,                0.14591,                0.68001,                0.14201,                0.27932,                0.11976,                 1.2358,                  2.932,                 2.9817,                 1.2419,             0.00077707,             0.00077707,             0.00077707
                     21,                 1.1133,                 1.4776,                 1.1453,                 1.0617,                0.83521,                 0.1691,                0.49255,                0.28378,                0.83521,                 0.1691,                0.47041,                0.24953,                 1.1999,                 2.8134,                 2.8454,                 1.2287,             0.00081675,             0.00081675,             0.00081675
                     22,                0.95532,                 1.2344,                 1.0451,                 1.0192,                0.36384,                0.23333,                0.28891,                 0.1787,                0.36384,                0.23333,                0.28133,                0.15473,                 1.1838,                 2.5185,                  2.751,                  1.232,             0.00085642,             0.00085642,             0.00085642
                     23,                 1.1124,                 1.3161,                 1.0855,                 1.0387,                0.90115,                0.15211,                 0.3406,                0.16999,                0.90115,                0.15211,                0.35966,                0.18495,                 1.5898,                 2.8564,                 2.9755,                 1.7001,             0.00089608,             0.00089608,             0.00089608
                     24,                 1.0764,                 1.4707,                 1.0709,                 1.0307,                0.26868,                0.13333,                0.12004,                0.05587,                0.26868,                0.13333,                 0.1198,                0.06046,                 1.6307,                 2.5148,                 3.2727,                 1.6556,             0.00093572,             0.00093572,             0.00093572
                     25,                 1.1109,                 1.2956,                 1.1186,                  1.058,                0.24228,                    0.2,                0.10412,                0.06098,                0.26225,                    0.2,                0.09283,                0.04821,                 1.5352,                 2.9438,                 3.2935,                 1.5029,             0.00097534,             0.00097534,             0.00097534
                     26,                0.96372,                 1.3054,                0.96007,                0.99068,                 0.7006,                0.23333,                0.36581,                0.20943,                0.72916,                0.23333,                0.33294,                0.18809,                 1.4523,                 2.6455,                 2.7964,                 1.3404,               0.001015,               0.001015,               0.001015
                     27,                 1.0424,                  1.145,                 1.0277,                 1.0436,                0.68076,                0.61667,                0.67544,                0.37435,                0.64873,                0.56667,                0.62944,                0.33277,                 1.3953,                 2.7079,                 2.3727,                 1.2493,              0.0010545,              0.0010545,              0.0010545
                     28,                0.99223,                 1.1459,                0.98705,                  1.006,                0.80165,                    0.7,                0.76309,                0.39267,                0.77963,                0.68333,                0.72254,                0.39243,                 1.4142,                 2.7258,                  2.323,                 1.2368,              0.0010941,              0.0010941,              0.0010941
                     29,                   1.11,                 1.1086,                 1.0392,                 1.0538,                0.85367,                0.77789,                0.84532,                0.51075,                0.83623,                0.76592,                0.83427,                0.48801,                 1.2858,                 2.3661,                 2.1681,                 1.1398,              0.0011337,              0.0011337,              0.0011337
                     30,                 1.0646,                 1.1263,                 1.0552,                 1.0662,                0.82385,                0.70159,                0.84076,                0.43262,                0.80179,                0.67426,                0.81066,                0.43725,                 1.3987,                 2.5417,                 2.1944,                 1.1841,              0.0011732,              0.0011732,              0.0011732
                     31,                  1.037,                 1.4163,                 1.0155,                  1.052,                0.59112,                0.65057,                0.66455,                0.25175,                0.66254,                0.71667,                0.79712,                0.44203,                 1.6286,                 2.3623,                 2.5017,                 1.5265,              0.0012128,              0.0012128,              0.0012128
                     32,                 1.0611,                 1.2154,                0.99556,                 1.0591,                0.42114,                0.52145,                0.41413,                0.17998,                0.58033,                   0.65,                0.65633,                0.35073,                 1.4913,                 2.3927,                 2.6003,                 1.5529,              0.0012523,              0.0012523,              0.0012523
